Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-27, 30, 14, 0.065,1.026,1.624,23,9,3.69056e-07,0.357143,0.3,
30-instance-28, 30, 5, 0.011,0.235,0.312,29,3,0.0703125,0.6,0.5,
30-instance-29, 30, 9, 0.011,0.087,0.283,26,7,0.0260123,0.666667,0.666667,
30-instance-30, 30, 3, 0.004,0.077,0.07,30,3,0.037037,0.333333,0.333333,
30-instance-31, 30, 6, 0.015,0.295,0.166,29,4,0.015625,0.5,0.5,
30-instance-32, 30, 11, 0.004,0.115,0.405,26,6,4.34518e-05,0.454545,0.25,
30-instance-33, 30, 12, 0.01,0.289,0.687,28,8,2.56e-08,0.25,0.2,
30-instance-34, 30, 14, 0.016,0.25,0.592,26,9,3.27049e-10,0.214286,0.166667,
30-instance-35, 30, 10, 0.014,0.266,0.316,28,9,4.49728e-08,0.2,0.142857,
30-instance-36, 30, 6, 0.015,0.209,0.214,28,4,0.072338,0.666667,0.5,
30-instance-37, 30, 7, 0.018,0.326,0.265,29,6,0.000144676,0.285714,0.25,
30-instance-38, 30, 3, 0.016,0.318,0.058,30,3,0.037037,0.333333,0.333333,
30-instance-39, 30, 7, 0.021,0.354,0.193,28,5,0.0026556,0.428571,0.428571,
30-instance-40, 30, 0, 0.015,0.24,0,31,0,1,-nan(ind),1,
30-instance-41, 30, 12, 0.02,0.393,0.878,23,10,0.00137174,0.583333,0.5,
30-instance-42, 30, 13, 0.023,0.51,1.096,25,13,2.21573e-07,0.307692,0.307692,
30-instance-43, 30, 7, 0.018,0.395,0.119,30,7,1.21427e-06,0.142857,0.142857,
30-instance-44, 30, 9, 0.017,0.474,0.359,27,5,1.3824e-05,0.333333,0.2,
30-instance-45, 30, 8, 0.003,0.034,0.347,26,5,0.000342936,0.375,0.333333,
30-instance-46, 30, 21, 0.027,0.324,1.23,21,16,3.84478e-14,0.333333,0.142857,
30-instance-47, 30, 17, 0.016,0.297,0.727,25,15,1.47006e-13,0.176471,0.166667,
30-instance-48, 30, 9, 0.015,0.292,0.4,27,6,0.00292969,0.555556,0.333333,
30-instance-49, 30, 14, 0.015,0.251,0.432,28,10,1.47444e-12,0.142857,0.142857,
30-instance-50, 30, 4, 0.005,0.095,0.092,28,2,0.0625,0.5,0.5,
40-instance-1, 40, 15, 0.014,0.172,0.664,34,10,4.28669e-10,0.266667,0.166667,
40-instance-2, 40, 7, 0.004,0.101,0.233,39,6,0.09375,0.714286,0.666667,
40-instance-3, 40, 9, 0.018,0.506,0.564,35,7,0.00476837,0.555556,0.5,
40-instance-4, 40, 17, 0.026,0.671,1.795,31,16,2.0372e-09,0.352941,0.2,
40-instance-5, 40, 11, 0.031,0.806,0.606,36,6,0.108716,0.818182,0.8,
40-instance-6, 40, 4, 0.016,0.312,0.061,40,4,0.00390625,0.25,0.25,
40-instance-7, 40, 3, 0.021,0.56,0.13,40,3,0.296296,0.666667,0.666667,
40-instance-8, 40, 27, 0.028,0.446,5.735,26,22,2.87752e-17,0.296296,0.142857,
40-instance-9, 40, 11, 0.007,0.135,0.452,35,5,0.000101611,0.454545,0.333333,
40-instance-10, 40, 10, 0.015,0.212,0.46,35,6,8.57339e-05,0.4,0.333333,
40-instance-11, 40, 12, 0.019,0.59,0.703,34,7,7.13643e-05,0.5,0.333333,
40-instance-12, 40, 17, 0.019,0.558,1.273,32,12,5.59284e-09,0.411765,0.166667,
40-instance-13, 40, 11, 0.022,0.454,0.714,32,4,0.00109863,0.545455,0.5,
40-instance-14, 40, 13, 0.022,0.68,0.657,34,13,5.26396e-09,0.230769,0.230769,
40-instance-15, 40, 18, 0.029,0.734,36.452,31,13,1.39283e-11,0.277778,0.181818,
40-instance-16, 40, 18, 0.036,0.606,1.157,31,17,1.36192e-10,0.333333,0.214286,
40-instance-17, 40, 23, 0.03,0.72,1.69,31,21,2.32604e-19,0.217391,0.105263,
40-instance-18, 40, 11, 0.018,0.363,0.518,34,8,2.80933e-05,0.454545,0.2,
40-instance-19, 40, 14, 0.023,0.648,1.53,31,12,4.35579e-06,0.428571,0.363636,
40-instance-20, 40, 0, 0.015,0.176,0,41,0,1,-nan(ind),1,
40-instance-21, 40, 19, 0.021,0.455,1.307,28,17,1.94522e-08,0.421053,0.307692,
40-instance-22, 40, 8, 0.026,0.145,0.314,36,5,0.00260417,0.5,0.333333,
40-instance-23, 40, 19, 0.021,0.655,1.959,32,15,4.67178e-08,0.473684,0.2,
40-instance-24, 40, 13, 0.006,0.059,0.528,37,10,1.18581e-09,0.230769,0.142857,
40-instance-25, 40, 5, 0.019,0.607,0.246,39,4,0.00925926,0.4,0.333333,
40-instance-26, 40, 9, 0.013,0.383,0.462,38,8,0.00128,0.555556,0.25,
40-instance-27, 40, 20, 0.019,0.311,0.791,31,14,2.30381e-14,0.25,0.142857,
40-instance-28, 40, 9, 0.02,0.407,0.651,36,7,0.02048,0.666667,0.5,
40-instance-29, 40, 18, 0.023,0.602,2.019,30,14,2.03349e-08,0.388889,0.3,
40-instance-30, 40, 21, 0.034,0.611,2.49,27,19,8.62718e-10,0.380952,0.307692,
40-instance-31, 40, 17, 0.024,0.611,1.173,33,14,1.47006e-13,0.176471,0.166667,
40-instance-32, 40, 20, 0.036,0.726,2.448,29,15,2.39358e-05,0.6,0.5,
40-instance-33, 40, 19, 0.024,0.585,1.889,28,15,9.49684e-11,0.315789,0.222222,
40-instance-34, 40, 18, 0.027,0.853,2.332,35,16,1.3013e-10,0.388889,0.142857,
40-instance-35, 40, 14, 0.02,0.438,0.897,32,10,2.46652e-06,0.428571,0.285714,
40-instance-36, 40, 17, 0.018,0.521,1.05,34,13,1.29014e-12,0.235294,0.142857,
40-instance-37, 40, 18, 0.062,0.664,1.981,32,5,5.89824e-10,0.388889,0.2,
40-instance-38, 40, 23, 0.033,0.599,5.952,29,20,3.29758e-12,0.391304,0.181818,
40-instance-39, 40, 4, 0.001,0.028,0.064,40,4,0.00390625,0.25,0.25,
40-instance-40, 40, 11, 0.012,0.334,0.57,34,9,0.000106667,0.454545,0.333333,
40-instance-41, 40, 2, 0.023,0.492,0.06,40,2,0.25,0.5,0.5,
40-instance-42, 40, 16, 0.018,0.473,3.24,32,14,8.11563e-06,0.5,0.4,
40-instance-43, 40, 9, 0.017,0.186,0.221,37,7,6.20181e-07,0.222222,0.166667,
40-instance-44, 40, 18, 0.02,0.704,1.241,31,13,2.36328e-07,0.444444,0.333333,
40-instance-45, 40, 18, 0.02,0.421,1.18,33,13,5.75954e-15,0.166667,0.142857,
40-instance-46, 40, 14, 0.019,0.395,0.532,36,10,2.7e-13,0.142857,0.1,
40-instance-47, 40, 12, 0.007,0.108,0.455,35,11,6.36625e-06,0.416667,0.2,
40-instance-48, 40, 23, 0.004,0.035,0.727,36,18,0,0.0869565,0,
40-instance-49, 40, 14, 0.024,0.217,0.529,34,11,1.11037e-08,0.285714,0.222222,
40-instance-50, 40, 22, 0.024,0.687,2.53,30,21,1.11384e-11,0.409091,0.2,
40-instance-51, 40, 26, 0.011,0.303,3.017,32,24,2.36746e-22,0.269231,0.0625,
40-instance-52, 40, 18, 0.026,0.767,1.284,32,17,8.65518e-15,0.166667,0.153846,
40-instance-53, 40, 8, 0.026,0.639,0.48,38,4,0.0197754,0.625,0.5,
40-instance-54, 40, 13, 0.018,0.392,0.864,32,8,0.0002025,0.538462,0.4,
40-instance-55, 40, 15, 0.025,0.513,0.905,34,13,9.48148e-10,0.266667,0.2,
40-instance-56, 40, 21, 0.038,0.706,3.098,27,16,3.39929e-09,0.428571,0.25,
40-instance-57, 40, 16, 0.024,0.462,0.854,33,14,5.0178e-11,0.3125,0.111111,
40-instance-58, 40, 18, 0.029,0.567,1.197,36,16,2.4457e-16,0.222222,0.0769231,
