Name, n, |M|, time solution, time partition, time distribution, generated solutions, geometric mean, arithmetic mean, minimum selection probability
50-instance-26, 50, 11, 0.039,1.194,1.416,44,3.30195e-07,0.272727,0.22,
50-instance-27, 50, 24, 0.032,2.268,2.281,39,6.90583e-15,0.375,0.127059,
50-instance-28, 50, 15, 0.218,3.167,9.109,45,4.16003e-10,0.266667,0.138,
50-instance-29, 50, 14, 0.124,2.63,2.25,43,0.0339723,0.785714,0.746667,
50-instance-30, 50, 6, 0.08,2.039,0.814,49,0.0791011,0.666667,0.49875,
50-instance-31, 50, 17, 0.053,1.453,2.535,44,3.757e-11,0.294118,0.11963,
50-instance-32, 50, 14, 0.045,2.264,1.771,45,4.98643e-07,0.428571,0.163333,
50-instance-33, 50, 4, 0.105,2.631,0.473,48,0.0625,0.5,0.5,
50-instance-34, 50, 17, 0.04,2.613,1.449,42,1.24082e-13,0.176471,0.138519,
50-instance-35, 50, 6, 0.069,2.302,0.578,47,0.0156246,0.5,0.49875,
50-instance-36, 50, 20, 0.068,1.793,1.8,43,4.60409e-15,0.25,0.126667,
50-instance-37, 50, 23, 0.072,1.726,2.719,39,9.93875e-16,0.26087,0.139394,
50-instance-38, 50, 21, 0.046,1.525,2.953,37,5.9284e-06,0.571429,0.433548,
50-instance-39, 50, 24, 0.034,0.715,1.42,37,1.73783e-09,0.458333,0.230588,
50-instance-40, 50, 8, 0.005,0.18,0.146,49,0.00390594,0.5,0.497778,
50-instance-41, 50, 22, 0.057,1.528,2.162,37,1.84226e-13,0.318182,0.185625,
50-instance-42, 50, 18, 0.058,3.095,0.995,43,0.00250543,0.722222,0.498571,
50-instance-43, 50, 19, 0.075,0.678,3.614,44,1.50658e-14,0.210526,0.137586,
50-instance-44, 50, 17, 0.044,1.836,4.911,41,1.94234e-05,0.529412,0.497407,
50-instance-45, 50, 11, 0.026,1.071,0.14,50,3.49093e-12,0.0909091,0.0890476,
50-instance-46, 50, 13, 0.017,0.444,0.875,43,2.50827e-05,0.461538,0.316522,
50-instance-47, 50, 13, 0.051,2.346,1.004,45,3.78922e-09,0.230769,0.197826,
50-instance-48, 50, 35, 0.114,0.901,10.933,31,9.5089e-24,0.314286,0.07,
50-instance-49, 50, 21, 0.027,1.26,3.126,41,5.33173e-12,0.380952,0.149032,
50-instance-50, 50, 9, 0.012,0.492,0.696,46,0.000539941,0.444444,0.298421,
60-instance-1, 60, 17, 0.028,0.339,0.735,54,3.1343e-14,0.235294,0.0818519,
60-instance-4, 60, 31, 0.092,1.42,8.833,42,2.00556e-18,0.354839,0.0907317,
60-instance-5, 60, 15, 0.035,1.329,2.357,52,6.82065e-06,0.466667,0.33,
60-instance-6, 60, 42, 0.053,2.934,15.883,34,4.67555e-21,0.404762,0.121154,
60-instance-7, 60, 22, 0.066,4.349,4.803,51,7.06652e-15,0.318182,0.130625,
60-instance-8, 60, 45, 0.071,2.253,8.675,39,1.5091e-29,0.288889,0.122727,
60-instance-9, 60, 25, 0.095,1.264,3.148,50,1.54731e-17,0.28,0.121429,
60-instance-10, 60, 24, 0.107,3.705,4.79,52,4.66142e-18,0.208333,0.105882,
60-instance-11, 60, 32, 0.07,2.581,3.463,43,1.39193e-20,0.28125,0.152381,
60-instance-17, 60, 23, 0.036,1.331,2.379,49,2.10425e-11,0.391304,0.243939,
60-instance-18, 60, 34, 0.054,2.272,12.525,47,3.95171e-30,0.176471,0.0695455,
60-instance-19, 60, 30, 0.043,1.333,3.951,54,1.49112e-27,0.266667,0.0525,
60-instance-20, 60, 26, 0.05,3.858,5.482,42,8.12837e-13,0.346154,0.310556,
60-instance-24, 60, 39, 0.053,1.739,10.253,36,1.03692e-20,0.358974,0.14135,
60-instance-25, 60, 26, 0.143,2.69,3.242,45,3.855e-12,0.423077,0.166111,
60-instance-26, 60, 28, 0.049,1.192,2.083,48,2.67857e-21,0.285714,0.0663158,
60-instance-27, 60, 24, 0.031,1.178,2.512,53,3.99286e-21,0.166667,0.0705882,
60-instance-28, 60, 27, 0.035,1.644,3.216,44,8.34587e-19,0.222222,0.197027,
60-instance-29, 60, 27, 0.064,2.26,21.761,41,2.20593e-09,0.481481,0.328649,
60-instance-30, 60, 41, 0.056,1.813,8.225,37,4.63583e-29,0.292683,0.0643137,
60-instance-31, 60, 35, 0.037,2.418,4.666,42,1.05634e-28,0.171429,0.108889,
60-instance-32, 60, 29, 0.096,1.867,7.701,42,1.12823e-16,0.344828,0.185897,
60-instance-33, 60, 16, 0.034,2.02,1.128,51,3.058e-09,0.3125,0.221538,
60-instance-34, 60, 32, 0.028,0.914,1.294,49,2.68225e-32,0.1875,0.0457143,
60-instance-35, 60, 20, 0.064,0.539,1.892,48,1.08618e-05,0.6,0.333333,
60-instance-36, 60, 35, 0.048,2.283,32.965,43,1.06548e-26,0.257143,0.108889,
60-instance-37, 60, 35, 0.044,1.972,3.003,41,1.08856e-26,0.2,0.132222,
60-instance-38, 60, 30, 0.048,1.84,6.033,46,1.32238e-13,0.433333,0.27,
60-instance-39, 60, 31, 0.049,1.477,4.952,44,2.83514e-18,0.387097,0.105854,
60-instance-40, 60, 31, 0.04,2.912,3.537,48,4.37285e-24,0.258065,0.0680488,
60-instance-41, 60, 23, 0.033,1.093,2.583,47,3.52167e-12,0.391304,0.111515,
60-instance-42, 60, 8, 0.008,0.197,1.213,60,0.343605,0.875,0.871111,
60-instance-43, 60, 33, 0.029,0.809,5.581,45,3.27951e-25,0.212121,0.0844186,
60-instance-44, 60, 29, 0.052,1.632,6.92,42,2.98158e-13,0.413793,0.275128,
60-instance-45, 60, 23, 0.061,3.284,15.479,50,2.75067e-13,0.304348,0.209091,
60-instance-46, 60, 24, 0.048,1.7,2.062,50,2.3849e-16,0.25,0.127059,
60-instance-47, 60, 16, 0.041,0.756,1.411,53,5.21388e-08,0.375,0.233846,
60-instance-48, 60, 30, 0.044,1.898,4.002,40,3.57837e-20,0.233333,0.18,
60-instance-49, 60, 36, 0.039,2.584,6.934,42,4.84917e-16,0.444444,0.258739,
60-instance-50, 60, 22, 0.035,1.345,1.629,51,1.03654e-12,0.318182,0.17875,
70-instance-1, 70, 32, 0.071,1.228,4.823,46,7.10976e-14,0.40625,0.266667,
70-instance-2, 70, 37, 0.059,2.154,6.137,49,3.96939e-22,0.351351,0.0865957,
70-instance-3, 70, 40, 0.12,2.894,10.221,44,1.80573e-17,0.425,0.256,
70-instance-4, 70, 28, 0.052,2.94,5.216,56,9.58912e-19,0.25,0.162105,
