Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_25_0.25_18, 25, 13, 1.122,24.106,9.65,51,7,0.5,0.5,0.5,6.25645,7.84615,1,
TT_25_0.25_19, 25, 17, 0.92,12.148,7.441,51,12,0.48219,0.483193,0.428571,5.39155,5.94118,1,
TT_25_0.50_0, 25, 8, 1.774,141.887,18.298,51,4,0.5,0.5,0.5,3.66284,3.875,1,
TT_25_0.50_1, 25, 9, 0.453,6.285,2.069,51,6,0.476379,0.477477,0.432432,3.56561,4,1,
TT_25_0.50_2, 25, 13, 0.618,18.848,4.643,51,9,0.5,0.5,0.5,4.83719,9.69231,0.5,
TT_25_0.50_3, 25, 9, 1.514,38.579,9.23,51,5,0.5,0.5,0.5,5.78796,6.11111,1,
TT_25_0.50_4, 25, 18, 1.893,46.979,26.729,51,14,0.444815,0.451061,0.337349,9.0201,13.7778,1,
TT_25_0.50_5, 25, 11, 2.051,164.029,21.576,51,9,0.503543,0.503565,0.5,8.70532,10.5455,1,
TT_25_0.50_6, 25, 8, 0.269,6.141,1.272,51,6,0.5,0.5,0.5,7.43434,7.625,1,
TT_25_0.50_7, 25, 12, 0.514,13.973,4.143,51,8,0.472871,0.475,0.4,3.90316,4.41667,1,
TT_25_0.50_8, 25, 14, 0.641,11.671,5.099,51,9,0.476654,0.478571,0.4,3.11232,3.78571,1,
TT_25_0.50_9, 25, 9, 0.562,18.926,4.95,51,7,0.5,0.5,0.5,9.68037,10,1,
