Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.05_23, 15, 11, 0.051,1.859,45.876,31,1000,0.494322,0.494566,0.45825,2.83867,3.68164,0.489,
TT_15_0.05_24, 15, 7, 0.055,1.51,38.467,31,1000,0.488598,0.489969,0.421667,4.52373,5.99529,1,
TT_15_0.05_25, 15, 11, 0.055,2.075,48.519,31,1000,0.503694,0.504315,0.472167,4.02128,4.73164,1,
TT_15_0.05_26, 15, 12, 0.053,1.746,42.37,31,1000,0.502964,0.503789,0.468778,4.50797,4.989,1,
TT_15_0.05_27, 15, 15, 0.055,1.797,40.736,31,1000,0.494835,0.495504,0.418333,3.46269,5.12653,0.488,
TT_15_0.05_28, 15, 9, 0.037,1.029,30.078,31,1000,0.537256,0.539198,0.482,3.86311,4.55556,1,
TT_15_0.05_29, 15, 10, 0.056,1.804,42.346,31,1000,0.507389,0.508474,0.475778,8.12005,8.784,1,
TT_15_0.05_30, 15, 10, 0.046,1.838,41.027,31,1000,0.499906,0.5,0.478,3.68537,5,0.499,
TT_15_0.05_31, 15, 9, 0.048,1.773,44.209,31,1000,0.50058,0.50141,0.460444,5.17284,5.651,1,
TT_15_0.05_32, 15, 15, 0.037,1.422,32.426,31,1000,0.499835,0.5,0.472,4.80589,5.93333,0.964,
TT_15_0.05_33, 15, 13, 0.034,1.094,30.9,31,1000,0.49988,0.5,0.479,2.27318,3.07692,0.5,
TT_15_0.05_34, 15, 12, 0.041,1.374,35.301,31,1000,0.497363,0.498434,0.437222,3.27464,3.49258,1,
TT_15_0.05_35, 15, 9, 0.036,1.328,34.316,31,1000,0.541191,0.543537,0.473,3.75564,3.88889,1,
TT_15_0.05_36, 15, 5, 0.043,1.425,36.467,31,1000,0.491049,0.491289,0.469444,5.76101,5.9216,1,
TT_15_0.05_37, 15, 12, 0.057,2.101,49.059,31,1000,0.495234,0.495649,0.439,7.30348,8.99475,1,
TT_15_0.05_38, 15, 11, 0.031,0.998,28.086,31,1000,0.499828,0.5,0.481,2.4768,3.27273,0.489,
