Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.25_4, 15, 8, 0.063,1.611,0.597,31,5,0.5,0.5,0.5,6.35073,6.875,1,
TT_15_0.25_5, 15, 6, 0.051,1.355,0.363,31,5,0.540062,0.541667,0.5,5.86381,6.33333,1,
TT_15_0.25_6, 15, 9, 0.051,1.487,0.615,31,4,0.5,0.5,0.5,3.53591,4.22222,1,
TT_15_0.25_7, 15, 5, 0.102,1.954,0.794,31,4,0.5,0.5,0.5,2.83226,5.6,0.5,
TT_15_0.25_8, 15, 12, 0.227,9.653,9.147,31,8,0.551156,0.555504,0.5,7.21781,11.25,0.5,
TT_15_0.25_9, 15, 7, 0.063,1.69,0.668,31,6,0.5,0.5,0.5,11.2738,13.8571,1,
TT_15_0.25_10, 15, 9, 0.15,3.792,1.403,31,7,0.5,0.5,0.5,6.85021,9.55556,1,
TT_15_0.25_11, 15, 4, 0.043,1.415,0.39,31,2,0.5,0.5,0.5,4.24264,4.25,1,
TT_15_0.25_12, 15, 11, 0.12,4.151,3.866,31,8,0.568344,0.570967,0.5,4.79908,6.45455,0.613636,
TT_15_0.25_13, 15, 9, 0.126,2.623,0.97,31,7,0.5,0.5,0.5,3.86948,6.11111,0.5,
TT_15_0.25_14, 15, 11, 0.13,2.23,1.009,31,6,0.525491,0.527273,0.5,3.22119,6.72727,0.5,
TT_15_0.25_15, 15, 6, 0.049,1.595,0.449,31,4,0.5,0.5,0.5,3.47603,3.5,1,
TT_15_0.25_16, 15, 7, 0.043,1.29,0.47,31,4,0.5,0.5,0.5,4.92201,5,1,
TT_15_0.25_17, 15, 9, 0.528,5.788,2.117,31,7,0.472163,0.473684,0.421053,7.88293,9.44444,1,
TT_15_0.25_18, 15, 5, 0.089,1.956,0.551,31,2,0.5,0.5,0.5,6.17801,7.2,1,
TT_15_0.25_19, 15, 9, 0.068,2.505,0.925,31,6,0.5,0.5,0.5,5.09967,5.44444,1,
TT_15_0.25_20, 15, 7, 0.039,1.264,0.348,31,5,0.5,0.5,0.5,3.84833,4,1,
TT_15_0.25_21, 15, 7, 0.053,1.604,0.503,31,2,0.5,0.5,0.5,4.321,4.42857,1,
TT_15_0.25_22, 15, 13, 0.11,4.949,4.406,31,7,0.559541,0.566748,0.5,3.20576,3.6044,0.738095,
TT_15_0.25_23, 15, 5, 0.039,0.903,0.273,31,4,0.5,0.5,0.5,6.35534,6.6,1,
TT_15_0.25_24, 15, 8, 0.125,3.6,2.133,31,7,0.5,0.5,0.5,12.7279,12.75,1,
TT_15_0.25_25, 15, 8, 0.142,1.547,0.787,31,5,0.552742,0.553922,0.529412,2.9098,3.23529,1,
TT_15_0.25_26, 15, 3, 0.069,1.591,0.288,31,3,0.5,0.5,0.5,7,7,1,
TT_15_0.25_27, 15, 6, 0.055,1.953,0.818,31,5,0.540062,0.541667,0.5,3.27797,3.66667,1,
TT_15_0.25_28, 15, 7, 0.151,7.049,4.291,31,2,0.5,0.5,0.5,4.00533,4.28571,1,
TT_15_0.25_29, 15, 8, 0.158,1.963,0.836,31,7,0.50528,0.505297,0.5,5.4837,6,1,
TT_15_0.25_30, 15, 6, 0.19,2.619,0.72,31,4,0.57735,0.583333,0.5,2.44949,4.83333,0.666667,
TT_15_0.25_31, 15, 9, 0.035,1.241,0.59,31,5,0.5,0.5,0.5,2.47272,3.44444,0.5,
TT_15_0.25_32, 15, 8, 0.181,3.146,1.003,31,6,0.5,0.5,0.5,3.96863,6.5,0.5,
TT_15_0.25_33, 15, 7, 0.058,1.93,0.603,31,5,0.5,0.5,0.5,4.99127,5.28571,1,
TT_15_0.25_34, 15, 4, 0.04,0.862,0.203,31,2,0.5,0.5,0.5,2.95804,3,1,
