Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-38, 30, 3, 0.013,0.202,0.045,30,3,0.037037,0.333333,0.333333,
30-instance-39, 30, 7, 0.014,0.229,0.159,28,5,0.0026556,0.428571,0.428571,
30-instance-40, 30, 0, 0.012,0.151,0,31,0,1,-nan(ind),1,
30-instance-41, 30, 12, 0.018,0.275,0.593,23,10,0.00137174,0.583333,0.5,
30-instance-42, 30, 13, 0.02,0.318,0.535,25,13,2.21573e-07,0.307692,0.307692,
30-instance-43, 30, 7, 0.011,0.285,0.113,30,7,1.21427e-06,0.142857,0.142857,
30-instance-44, 30, 9, 0.015,0.339,0.284,27,5,1.3824e-05,0.333333,0.2,
30-instance-45, 30, 8, 0.002,0.021,0.197,26,6,0.000342936,0.375,0.333333,
30-instance-46, 30, 21, 0.012,0.221,0.974,21,16,3.84478e-14,0.333333,0.142857,
30-instance-47, 30, 17, 0.013,0.197,0.533,25,15,1.47006e-13,0.176471,0.166667,
30-instance-48, 30, 9, 0.015,0.226,0.364,27,6,0.00292969,0.555556,0.333333,
30-instance-49, 30, 14, 0.012,0.174,0.353,28,10,1.47444e-12,0.142857,0.142857,
30-instance-50, 30, 4, 0.005,0.052,0.106,28,2,0.0625,0.5,0.5,
40-instance-1, 40, 15, 0.016,0.121,0.531,34,10,4.28669e-10,0.266667,0.166667,
40-instance-2, 40, 7, 0.004,0.068,0.225,39,6,0.09375,0.714286,0.666667,
40-instance-3, 40, 9, 0.019,0.369,0.428,35,7,0.00476837,0.555556,0.5,
40-instance-4, 40, 17, 0.022,0.501,1.156,31,16,2.0372e-09,0.352941,0.2,
40-instance-5, 40, 11, 0.022,0.593,0.494,36,6,0.108716,0.818182,0.8,
40-instance-6, 40, 4, 0.008,0.249,0.061,40,4,0.00390625,0.25,0.25,
40-instance-7, 40, 3, 0.016,0.401,0.077,40,3,0.296296,0.666667,0.666667,
40-instance-8, 40, 27, 0.02,0.318,1.967,26,21,2.87752e-17,0.296296,0.142857,
40-instance-9, 40, 11, 0.004,0.084,0.377,35,5,0.000101611,0.454545,0.333333,
40-instance-10, 40, 10, 0.013,0.171,0.451,35,6,8.57339e-05,0.4,0.333333,
40-instance-11, 40, 12, 0.018,0.481,0.579,34,7,7.13643e-05,0.5,0.333333,
40-instance-12, 40, 17, 0.013,0.416,0.86,32,12,5.59284e-09,0.411765,0.166667,
