Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
40-instance-50, 40, 22, 0.018,0.403,0.434,30,21,0.310543,0.409091,0.119897,
40-instance-51, 40, 26, 0.007,0.192,0.654,32,23,0,0.269231,0,
40-instance-52, 40, 18, 0.028,0.438,0.423,32,17,0.16391,0.166667,0.107692,
40-instance-53, 40, 8, 0.012,0.397,0.176,38,4,0.603423,0.625,0.5,
40-instance-54, 40, 13, 0.014,0.277,0.252,32,10,0.502611,0.538462,0.2375,
40-instance-55, 40, 15, 0.015,0.344,0.316,34,13,0.241628,0.266667,0.130556,
40-instance-56, 40, 21, 0.021,0.4,0.78,27,16,0.37077,0.428571,0.147561,
40-instance-57, 40, 16, 0.011,0.33,0.313,33,14,0,0.3125,0,
40-instance-58, 40, 18, 0.018,0.379,0.369,36,16,0,0.222222,0,
40-instance-59, 40, 9, 0.011,0.345,0.135,37,7,0,0.333333,0,
40-instance-60, 40, 17, 0.013,0.378,0.397,33,14,0.345373,0.470588,0.067619,
